1.46193,2.30E-11,23
1.48208,5.00E-11,50
1.50224,6.00E-11,60
1.52239,3.40E-11,34
1.54255,5.60E-11,56
1.56271,7.20E-11,72
1.58286,6.30E-11,63
1.60301,5.60E-11,56
1.62316,8.10E-11,81
1.64767,8.30E-11,83
1.66784,5.60E-11,56
1.68799,8.40E-11,84
1.70814,9.10E-11,91
1.72829,7.30E-11,73
1.74844,8.20E-11,82
1.76861,9.60E-11,96
1.78878,9.50E-11,95
1.80895,7.00E-11,70
1.82911,1.01E-10,101
1.85677,1.03E-10,103
1.87693,7.80E-11,78
1.89708,1.02E-10,102
1.91724,1.09E-10,109
1.93739,9.20E-11,92
1.95755,9.30E-11,93
1.97771,1.10E-10,110
1.99787,1.11E-10,111
2.01803,8.60E-11,86
2.03819,1.13E-10,113
2.06282,1.16E-10,116
2.08298,8.80E-11,88
2.10314,1.07E-10,107
2.12331,1.18E-10,118
2.14346,1.12E-10,112
2.16361,7.40E-11,74
2.18376,6.10E-11,61
2.20392,5.50E-11,55
2.22408,4.90E-11,49
2.24424,4.60E-11,46
2.26873,4.30E-11,43
2.28889,4.00E-11,40
2.30904,3.70E-11,37
2.32921,3.60E-11,36
2.34936,3.30E-11,33
2.36951,3.20E-11,32
2.38967,2.90E-11,29
2.40982,2.90E-11,29
2.42998,2.70E-11,27
2.45013,2.70E-11,27
2.47459,2.50E-11,25
2.49475,2.30E-11,23
2.51491,2.20E-11,22
2.53507,2.20E-11,22
2.55523,2.10E-11,21
2.57538,2.00E-11,20
2.59555,1.90E-11,19
2.61571,1.80E-11,18
2.63585,1.70E-11,17
2.65602,1.60E-11,16
2.68056,1.50E-11,15
2.70071,1.50E-11,15
2.72086,1.40E-11,14
2.74101,1.30E-11,13
2.76117,1.30E-11,13
2.78132,1.20E-11,12
2.80148,1.20E-11,12
2.82165,1.10E-11,11
2.84181,1.10E-11,11
2.86196,1.10E-11,11
2.88802,1.00E-11,10
2.90817,9.00E-12,9
2.92832,8.00E-12,8
2.94849,9.00E-12,9
2.96866,8.00E-12,8
2.98882,8.00E-12,8
3.00899,7.00E-12,7
3.02915,7.00E-12,7
3.0493,7.00E-12,7
3.06945,7.00E-12,7
3.09368,6.00E-12,6
3.11385,6.00E-12,6
3.13402,5.00E-12,5
3.15418,5.00E-12,5
3.17433,5.00E-12,5
3.1945,5.00E-12,5
3.21466,4.00E-12,4
3.23482,4.00E-12,4
3.25498,4.00E-12,4
3.27513,4.00E-12,4
3.29973,3.00E-12,3
3.31988,3.00E-12,3
3.34003,2.00E-12,2
3.36019,3.00E-12,3
3.38036,3.00E-12,3
3.40051,2.00E-12,2
3.42068,2.00E-12,2
3.44085,2.00E-12,2
3.461,2.00E-12,2
3.48117,3.00E-12,3
3.50554,1.00E-12,1
3.52571,1.00E-12,1
3.54588,1.00E-12,1
3.56604,1.00E-12,1
3.5862,1.00E-12,1
3.60635,1.00E-12,1
3.62652,1.00E-12,1
3.64669,0,0
3.66686,1.00E-12,1
3.68703,0,0
3.71494,0,0
3.7351,0,0
3.75526,-1.00E-12,-1
3.77542,-1.00E-12,-1
3.79557,0,0
3.81574,-1.00E-12,-1
3.8359,-1.00E-12,-1
3.85607,0,0
3.87623,-1.00E-12,-1
3.89639,0,0
3.92091,-1.00E-12,-1
3.94106,-1.00E-12,-1
3.96123,-1.00E-12,-1
3.9814,-1.00E-12,-1
4.00155,-1.00E-12,-1
4.02171,-1.00E-12,-1
4.04186,-2.00E-12,-2
4.06202,-1.00E-12,-1
4.08219,-1.00E-12,-1
4.10235,-1.00E-12,-1
4.12674,-2.00E-12,-2
4.14689,-2.00E-12,-2
4.16706,-2.00E-12,-2
4.18721,-1.00E-12,-1
4.20736,-2.00E-12,-2
4.22752,-2.00E-12,-2
4.24769,-2.00E-12,-2
4.26786,-2.00E-12,-2
4.28802,-2.00E-12,-2
4.30819,-2.00E-12,-2
4.33319,-2.00E-12,-2
4.35336,-3.00E-12,-3
4.37351,-3.00E-12,-3
4.39368,-2.00E-12,-2
4.41384,-2.00E-12,-2
4.43401,-3.00E-12,-3
4.45417,-2.00E-12,-2
4.47434,-3.00E-12,-3
4.49451,-3.00E-12,-3
4.51466,-2.00E-12,-2
4.53926,-4.00E-12,-4
4.55942,-4.00E-12,-4
